ID	2006 list	2008 list	2010 list	2012 list	2018 list	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	GND Arealabel	GND Areacode	P495	P19	Geonames ID	Latitude	Longitude
1	2006	NaN	NaN	NaN	NaN	Aesop’s Fables	Aesopus	2) Deleted 2008	NaN	174	Greek	pre-1700s	NaN	Q865902	Q43423	Ancient Greece	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XS	NaN	NaN	390903	39.0	22.0
2	2006	NaN	NaN	NaN	NaN	Metamorphoses	Ovid	2) Deleted 2008	NaN	368	Roman	pre-1700s	NaN	Q184742	Q7198	Rome	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XT	NaN	NaN	8354456	41.8925	12.48499
3	2006	NaN	NaN	NaN	NaN	Chaireas and Kallirhoe	Chariton	2) Deleted 2008	NaN	1136	NaN	pre-1700s	NaN	Q2972092	Q434567	Country unknown	https://d-nb.info/standards/vocab/gnd/geographic-area-code#ZZ	NaN	NaN	NaN	NaN	NaN
4	2006	NaN	NaN	NaN	NaN	An Ethiopian Romance  	Heliodorus	2) Deleted 2008	Aithiopika	1164	Syrian	pre-1700s	NaN	Q2657860	Q313011	Ancient Greece	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XS	NaN	NaN	390903	39.0	22.0
5	2006	2008	2010	2012	2018	The Thousand and One Nights	Anonymous	1) core list	NaN	525	Arabian	pre-1700s	NaN	Q8258	Q4233718	Arab Countries	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XX	NaN	NaN	12218088	26.35058	50.16805
6	NaN	2008	2010	2012	2018	The Tale of the Bamboo Cutter	Anonymous	3) Added 2008	NaN	873	NaN	pre-1700s	NaN	Q923593	Q4233718	Japan	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XB-JP	NaN	NaN	1861060	35.68536	139.75309
7	NaN	2008	2010	2012	2018	The Tale of Genji	Murasaki, Shikibu	3) Added 2008	NaN	1082	NaN	pre-1700s	NaN	Q8269	Q81731	Japan	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XB-JP	NaN	NaN	1861060	35.68536	139.75309
8	NaN	2008	2010	2012	2018	Romance of the Three Kingdoms	Luo, Guanzhong 	3) Added 2008	NaN	1158	NaN	pre-1700s	NaN	Q70806	Q264517	China	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XB-CN	NaN	NaN	1814991	35.0	105.0
9	NaN	2008	2010	2012	2018	The Water Margin	Shi, Nai'an 	3) Added 2008	NaN	414	NaN	pre-1700s	NaN	Q70827	Q1777502	NaN	NaN	People's Republic of China	NaN	1814991	35.0	105.0
10	NaN	2008	2010	2012	2018	Tirant lo Blanc	Martorell, Joanot	3) Added 2008	NaN	1280	NaN	pre-1700s	NaN	Q559667	Q363836	Spain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-ES	NaN	NaN	2510769	40.0	-4.0
11	NaN	2008	2010	2012	2018	La Celestina	Rojas, Fernando de	3) Added 2008	NaN	1154	NaN	pre-1700s	NaN	Q583705	Q353841	Spain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-ES	NaN	NaN	2510769	40.0	-4.0
12	NaN	2008	2010	2012	2018	Amadis of Gaul	Montalvo, Garci Rodríguez de 	3) Added 2008	NaN	1195	NaN	pre-1700s	NaN	Q452075	Q723468	NaN	NaN	Spain	NaN	2510769	40.0	-4.0
13	NaN	2008	2010	2012	2018	The Life of Lazarillo de Tormes	Anonymous	3) Added 2008	La vida del Lazarillo de Tormes  	1001	NaN	pre-1700s	NaN	Q770895	Q4233718	NaN	NaN	Spain	NaN	2510769	40.0	-4.0
14	2006	2008	2010	2012	2018	Gargantua and Pantagruel	Rabelais, François	1) core list	NaN	1055	French	pre-1700s	NaN	Q822290	Q131018	France	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-FR	NaN	NaN	3017382	46.0	2.0
15	NaN	2008	2010	2012	2018	The Lusiads	Camões, Luís de	3) Added 2008	NaN	293	NaN	pre-1700s	NaN	Q781898	Q590	Portugal	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-PT	NaN	NaN	2264397	39.6945	-8.13057
16	NaN	2008	2010	2012	2018	Monkey: Journey to the West	Wu, Cheng'en	3) Added 2008	NaN	294	NaN	pre-1700s	NaN	Q70784	Q228889	China	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XB-CN	NaN	NaN	1814991	35.0	105.0
17	2006	NaN	NaN	NaN	NaN	Euphues: The Anatomy of Wit	Lyly, John	2) Deleted 2008	NaN	1297	English	pre-1700s	NaN	Q5410723	Q261627	NaN	NaN	England	NaN	2635167	54.75844	-2.69531
18	2006	2008	2010	2012	2018	The Unfortunate Traveller	Nashe, Thomas	1) core list	NaN	1200	English	pre-1700s	NaN	Q1588078	Q443042	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
19	NaN	2008	2010	2012	2018	Thomas of Reading	Deloney, Thomas	3) Added 2008	NaN	1307	NaN	pre-1700s	NaN	Q127500887	Q1530410	NaN	NaN	NaN	London	NaN	NaN	NaN
20	2006	2008	2010	2012	2018	The Golden Ass	Apuleius, Lucius	1) core list	NaN	465	Roman	pre-1700s	NaN	Q1044767	Q170512	Rome	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XT	NaN	NaN	8354456	41.8925	12.48499
21	2006	2008	2010	2012	2018	Don Quixote	Cervantes Saavedra, Miguel de	1) core list	NaN	840	Spanish	pre-1700s	NaN	Q480	Q5682	Spain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-ES	NaN	NaN	2510769	40.0	-4.0
22	NaN	2008	2010	2012	2018	The Travels of Persiles and Sigismunda	Cervantes Saavedra, Miguel de	3) Added 2008	Los trabajos de Persiles y Sigismunda	1123	Spanish	pre-1700s	NaN	Q2634153	Q5682	Spain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-ES	NaN	NaN	2510769	40.0	-4.0
23	NaN	2008	2010	2012	2018	The Conquest of New Spain	Díaz del Castillo, Bernal	3) Added 2008	NaN	234	NaN	pre-1700s	NaN	Q378485	Q315795	NaN	NaN	Captaincy General of Guatemala	NaN	3595528	15.5	-90.25
24	NaN	2008	2010	2012	2018	The Adventurous Simplicissimus	Grimmelshausen, Hans von	3) Added 2008	Der abenteuerliche Simplicissimus	946	NaN	pre-1700s	NaN	Q705839	Q31220	Germany	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-DE	NaN	NaN	2921044	51.5	10.5
25	2006	NaN	NaN	NaN	NaN	The Pilgrim’s Progress	Bunyan, John	2) Deleted 2008	NaN	259	English	pre-1700s	NaN	Q268211	Q108206	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
26	2006	2008	2010	2012	2018	The Princess of Clèves	La Fayette, Madame de	1) core list	La Princess de Clèves	1122	French	pre-1700s	NaN	Q107608613	Q237090	NaN	NaN	NaN	Paris	NaN	NaN	NaN
27	2006	2008	2010	2012	2018	Oroonoko	Behn, Aphra	1) core list	NaN	1272	English	pre-1700s	NaN	Q2453934	Q231886	NaN	NaN	England	NaN	2635167	54.75844	-2.69531
28	2006	NaN	NaN	NaN	NaN	A Tale of a Tub	Swift, Jonathan	2) Deleted 2008	NaN	1005	English	1700s	NaN	Q2353123	Q41166	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
29	2006	2008	2010	2012	2018	Robinson Crusoe	Defoe, Daniel	1) core list	NaN	834	English	1700s	NaN	Q483034	Q40946	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
