ID	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID
1	2006						Aesop’s Fables	Aesopus	2) Deleted 2008		174	Greek	pre-1700s		Q865902
2	2006						Metamorphoses	Ovid	2) Deleted 2008		368	Roman	pre-1700s		Q184742
3	2006						Chaireas and Kallirhoe	Chariton	2) Deleted 2008		1136		pre-1700s		Q2972092
4	2006						An Ethiopian Romance  	Heliodorus	2) Deleted 2008	Aithiopika	1164	Syrian	pre-1700s		Q2657860
5	2006	2008	2010	2012	2018		The Thousand and One Nights	Anonymous	1) core list		525	Arabian	pre-1700s		Q8258
6		2008	2010	2012	2018		The Tale of the Bamboo Cutter	Anonymous	3) Added 2008		873		pre-1700s		Q923593
7		2008	2010	2012	2018		The Tale of Genji	Murasaki, Shikibu	3) Added 2008		1082		pre-1700s		Q8269
8		2008	2010	2012	2018		Romance of the Three Kingdoms	Luo, Guanzhong 	3) Added 2008		1158		pre-1700s		Q70806
9		2008	2010	2012	2018		The Water Margin	Shi, Nai'an 	3) Added 2008		414		pre-1700s		Q70827
10		2008	2010	2012	2018		Tirant lo Blanc	Martorell, Joanot	3) Added 2008		1280		pre-1700s		Q559667
11		2008	2010	2012	2018		La Celestina	Rojas, Fernando de	3) Added 2008		1154		pre-1700s		Q583705
12		2008	2010	2012	2018		Amadis of Gaul	Montalvo, Garci Rodríguez de 	3) Added 2008		1195		pre-1700s		Q452075
13		2008	2010	2012	2018		The Life of Lazarillo de Tormes	Anonymous	3) Added 2008	La vida del Lazarillo de Tormes  	1001		pre-1700s		Q770895
14	2006	2008	2010	2012	2018		Gargantua and Pantagruel	Rabelais, François	1) core list		1055	French	pre-1700s		Q822290
15		2008	2010	2012	2018		The Lusiads	Camões, Luís de	3) Added 2008		293		pre-1700s		Q781898
16		2008	2010	2012	2018		Monkey: Journey to the West	Wu, Cheng'en	3) Added 2008		294		pre-1700s		Q70784
17	2006						Euphues: The Anatomy of Wit	Lyly, John	2) Deleted 2008		1297	English	pre-1700s		Q5410723
18	2006	2008	2010	2012	2018		The Unfortunate Traveller	Nashe, Thomas	1) core list		1200	English	pre-1700s		Q1588078
19		2008	2010	2012	2018		Thomas of Reading	Deloney, Thomas	3) Added 2008		1307		pre-1700s		Q127500887
20	2006	2008	2010	2012	2018		The Golden Ass	Apuleius, Lucius	1) core list		465	Roman	pre-1700s		Q1044767
21	2006	2008	2010	2012	2018		Don Quixote	Cervantes Saavedra, Miguel de	1) core list		840	Spanish	pre-1700s		Q480
22		2008	2010	2012	2018		The Travels of Persiles and Sigismunda	Cervantes Saavedra, Miguel de	3) Added 2008	Los trabajos de Persiles y Sigismunda	1123	Spanish	pre-1700s		Q2634153
23		2008	2010	2012	2018		The Conquest of New Spain	Díaz del Castillo, Bernal	3) Added 2008		234		pre-1700s		Q378485
24		2008	2010	2012	2018		The Adventurous Simplicissimus	Grimmelshausen, Hans von	3) Added 2008	Der abenteuerliche Simplicissimus	946		pre-1700s		Q705839
25	2006						The Pilgrim’s Progress	Bunyan, John	2) Deleted 2008		259	English	pre-1700s		Q268211
26	2006	2008	2010	2012	2018		The Princess of Clèves	La Fayette, Madame de	1) core list	La Princess de Clèves	1122	French	pre-1700s		Q107608613
27	2006	2008	2010	2012	2018		Oroonoko	Behn, Aphra	1) core list		1272	English	pre-1700s		Q2453934
28	2006						A Tale of a Tub	Swift, Jonathan	2) Deleted 2008		1005	English	1700s		Q2353123
29	2006	2008	2010	2012	2018		Robinson Crusoe	Defoe, Daniel	1) core list		834	English	1700s		Q483034
30	2006	2008	2010	2012	2018		Love in Excess	Haywood, Eliza	1) core list		1188	English	1700s		Q1588738
31	2006	2008	2010	2012	2018		Moll Flanders	Defoe, Daniel	1) core list		1034	English	1700s		Q612523
32	2006						Roxana	Defoe, Daniel	2) Deleted 2008		1147	English	1700s		Q3825485
33	2006	2008	2010	2012	2018		Gulliver’s Travels	Swift, Jonathan	1) core list		990	English	1700s		Q181488
34	2006	2008	2010	2012	2018		A Modest Proposal	Swift, Jonathan	1) core list		106	English	1700s		Q264143
35	2006	2008	2010	2012	2018		Joseph Andrews	Fielding, Henry	1) core list		1204	English	1700s		Q784226
36	2006	2008	2010	2012	2018		Memoirs of Martinus Scriblerus	Arbuthnot, John et al	1) core list		1090	Irish	1700s		Q2587918
37	2006	2008	2010	2012	2018		Pamela	Richardson, Samuel	1) core list		1299	English	1700s		Q2048624
38	2006	2008	2010	2012	2018		Clarissa	Richardson, Samuel	1) core list		1276	English	1700s		Q980534
39	2006						Roderick Random	Smollett, Tobias George	2) Deleted 2008		1157	English	1700s		Q7712626
40	2006	2008	2010	2012	2018		Tom Jones	Fielding, Henry	1) core list		1023	English	1700s		Q248096
41	2006	2008	2010	2012	2018		Fanny Hill	Cleland, John	1) core list		1186	English	1700s		Q1395765
42	2006	2008	2010	2012	2018		Peregrine Pickle	Smollett, Tobias George	1) core list		1222	Scottish	1700s		Q7712607
43	2006						Amelia	Fielding, Henry	2) Deleted 2008		1171	English	1700s		Q2842656
44	2006	2008	2010	2012	2018		The Female Quixote	Lennox, Charlotte	1) core list		1069	America	1700s		Q1404172
45	2006	2008	2010	2012	2018		Candide	Voltaire	1) core list		565	French	1700s		Q215894
46	2006	2008	2010	2012	2018		The History of Rasselas, Prince of Abissinia  	Johnson, Samuel	1) core list		1084	English	1700s		Q3419875
47	2006	2008	2010	2012	2018		Julie; or, the New Eloise	Rousseau, Jean-Jacques	1) core list		1224	French	1700s		Q42191769
48	2006	2008	2010	2012	2018		Émile; or, On Education	Rousseau, Jean-Jacques	1) core list		1037	French	1700s		Q913599
49	2006	2008	2010	2012	2018		The Castle of Otranto	Walpole, Horace	1) core list		1223	English	1700s		Q548576
50	2006	2008	2010	2012	2018		The Vicar of Wakefield	Goldsmith, Oliver	1) core list		1052	English	1700s		Q1196205
51	2006	2008	2010	2012	2018		Tristram Shandy	Sterne, Laurence	1) core list		949	English	1700s		Q1164083
52	2006	2008	2010	2012	2018		A Sentimental Journey	Sterne, Laurence	1) core list		1148	English	1700s		Q768792
53	2006	2008	2010	2012	2018		The Man of Feeling	Mackenzie, Henry	1) core list		1266	Scottish	1700s		Q7750109
54	2006	2008	2010	2012	2018		Humphry Clinker	Smollett, Tobias George	1) core list		1156	Scottish	1700s		Q3203413
55	2006	2008	2010	2012	2018		The Sorrows of Young Werther	Goethe, Johann Wolfgang von	1) core list		778	German	1700s		Q151883
56	2006	2008	2010	2012	2018		Evelina	Burney, Fanny	1) core list		938	English	1700s		Q1635110
57	2006	2008	2010	2012	2018		Reveries of a Solitary Walker	Rousseau, Jean-Jacques	1) core list		835	French	1700s		Q129476
58	2006	2008	2010	2012	2018		Dangerous Liaisons	Laclos, Pierre Choderlos de 	1) core list		213	French	1700s		Q862050
59	2006	2008	2010	2012	2018		Confessions	Rousseau, Jean-Jacques	1) core list		1056	French	1700s		Q1207595
60	2006						Cecilia	Burney, Fanny	2) Deleted 2008		1064	English	1700s		Q3233990
61	2006	2008	2010	2012	2018		The 120 Days of Sodom	Sade, Marquis de	1) core list		1262	French	1700s		Q1210734
62		2008	2010	2012	2018		Anton Reiser	Moritz, Karl Philipp	3) Added 2008		1051		1700s		Q593385
63	2006	2008	2010	2012	2018		Vathek	Beckford, William Thomas	1) core list		1191	English	1700s		Q54548
64	2006	2008	2010	2012	2018		Justine	Sade, Marquis de	1) core list		1129	French	1700s		Q1329470
65		2008	2010	2012	2018		A Dream of Red Mansions	Cao, Xueqin 	3) Added 2008		201		1700s		Q8265
66	2006	2008	2010	2012	2018		The Adventures of Caleb Williams	Godwin, William	1) core list		1127	English	1700s		Q7784409
67	2006	2008	2010	2012	2018		The Interesting Narrative	Equiano, Olaudah	1) core list		757	Nigerian	1700s		Q7742270
68	2006	2008	2010	2012	2018		The Mysteries of Udolpho	Radcliffe, Ann	1) core list		1209	English	1700s		Q2600909
69	2006	2008	2010	2012	2018		Wilhelm Meister’s Apprenticeship	Goethe, Johann Wolfgang von	1) core list		772	German	1700s		Q1194031
70	2006	2008	2010	2012	2018		The Monk	Lewis, M.G.	1) core list		694	English	1700s		Q2659564
71	2006	2008	2010	2012	2018		Camilla	Burney, Fanny	1) core list		1054	English	1700s		Q2934813
72	2006	2008	2010	2012	2018		Jacques the Fatalist	Diderot, Denis	1) core list		584	French	1700s		Q945216
73	2006	2008	2010	2012	2018		The Nun	Diderot, Denis	1) core list		806	French	1700s		Q1209658
74	2006	2008	2010	2012	2018		Hyperion	Hölderlin, Friedrich	1) core list	Hyperion oder Der Eremit in Griechenland  	361	German	1700s		Q1190094
75	2006	2008	2010	2012	2018		Castle Rackrent	Edgeworth, Maria	1) core list		1228	English	1800s		Q5050238
76		2008	2010	2012	2018		Henry of Ofterdingen	Novalis	3) Added 2008		948		1800s		Q58178849
77	2006	2008	2010	2012	2018		Rameau’s Nephew	Diderot, Denis	1) core list		1130	French	1800s		Q1336786
78	2006	2008	2010	2012	2018		Elective Affinities	Goethe, Johann Wolfgang von	1) core list		781	German	1800s		Q951198
79	2006						The Absentee	Edgeworth, Maria	2) Deleted 2008		1041	English	1800s		Q7712149
80		2008	2010	2012	2018		Michael Kohlhaas	Kleist, Heinrich von	3) Added 2008		1015		1800s		Q279676
81	2006	2008	2010	2012	2018		Sense and Sensibility	Austen, Jane	1) core list		175	English	1800s		Q274744
82	2006	2008	2010	2012	2018		Pride and Prejudice	Austen, Jane	1) core list		25	English	1800s		Q170583
83	2006	2008	2010	2012	2018		Mansfield Park	Austen, Jane	1) core list		594	English	1800s		Q469690
84	2006	2008	2010	2012	2018		Emma	Austen, Jane	1) core list		306	English	1800s		Q223880
85	2006	2008	2010	2012	2018		Rob Roy	Scott, Sir Walter	1) core list		928	Scottish	1800s		Q2156104
86	2006						Ormond	Edgeworth, Maria	2) Deleted 2008		1225	English	1800s		Q7103428
87	2006						Persuasion	Austen, Jane	2) Deleted 2008		73	English	1800s		Q333179
88	2006						Northanger Abbey	Austen, Jane	2) Deleted 2008		530	English	1800s		Q477508
89	2006	2008	2010	2012	2018		Frankenstein	Shelley, Mary	1) core list		609	English	1800s		Q150827
90	2006	2008	2010	2012	2018		Ivanhoe	Scott, Sir Walter	1) core list		813	Scottish	1800s		Q840974
91	2006						The Monastery	Scott, Sir Walter	2) Deleted 2008		1231	Scottish	1800s		Q3224650
92	2006	2008	2010	2012	2018		Melmoth the Wanderer	Maturin, Charles Robert	1) core list		984	Irish	1800s		Q1475956
93	2006						The Albigenses	Maturin, Charles Robert	2) Deleted 2008		1312	Irish	1800s		Q117317300
94		2008	2010	2012	2018		The Life and Opinions of the Tomcat Murr	Hoffman, E.T.A.	3) Added 2008	Lebensansichten des Katers Murr  	529		1800s		Q1314475
95	2006	2008	2010	2012	2018		The Private Memoirs and Confessions of a Justified Sinner	Hogg, James	1) core list		888	Scottish	1800s		Q2992437
96		2008	2010	2012	2018		The Life of a Good-for-Nothing	Eichendorff, Joseph von	3) Added 2008	Aus dem Leben eines Taugenichts  	1146		1800s		Q777658
97	2006	2008	2010	2012	2018		Last of the Mohicans	Cooper, James Fenimore	1) core list		837	American	1800s		Q493574
98	2006	2008	2010	2012	2018		The Betrothed	Manzoni, Alessandro	1) core list	I Promessi Sposi	924	Italian	1800s		Q28491
99	2006	2008	2010	2012	2018		The Red and the Black	Stendhal	1) core list		637	French	1800s		Q192649
100	2006	2008	2010	2012	2018		The Hunchback of Notre Dame	Hugo, Victor	1) core list		355	French	1800s		Q191380
101		2008	2010	2012	2018		Eugene Onegin	Pushkin, Alexander	3) Added 2008		120	Russian	1800s		Q50948
102	2006	2008	2010	2012	2018		Eugénie Grandet	Balzac, Honoré de	1) core list		585	French	1800s		Q1373644
103	2006	2008	2010	2012	2018		Père Goriot	Balzac, Honoré de	1) core list	Le Père Goriot	567	French	1800s		Q240617
104	2006	2008	2010	2012	2018		The Nose	Gogol, Nikolay	1) core list		324	Russian	1800s		Q785580
105	2006	2008	2010	2012	2018		Oliver Twist	Dickens, Charles	1) core list		635	English	1800s		Q164974
106	2006						The Life and Adventures of Nicholas Nickleby	Dickens, Charles	2) Deleted 2008		685	English	1800s		Q847642
107		2008	2010	2012	2018		The Lion of Flanders	Conscience, Hendrik	3) Added 2008		1247		1800s		Q977727
108	2006	2008	2010	2012	2018		The Charterhouse of Parma	Stendhal	1) core list		722	French	1800s		Q1165714
109	2006	2008	2010	2012	2018		The Fall of the House of Usher	Poe, Edgar Allan	1) core list		216	American	1800s		Q1197735
110		2008	2010	2012	2018		Camera Obscura	Hildebrand	3) Added 2008		1284		1800s		
111		2008	2010	2012	2018		A Hero of Our Times	Lermontov, Mikhail Yurevich	3) Added 2008		87		1800s		Q1304649
112	2006	2008	2010	2012	2018		Dead Souls	Gogol, Nikolay	1) core list		382	Russian	1800s		Q647379
113	2006						A Christmas Carol	Dickens, Charles	2) Deleted 2008		118	English	1800s		Q62879
114	2006	2008	2010	2012	2018		Lost Illusions	Balzac, Honoré de	1) core list		203	French	1800s		Q2092894
115	2006	2008	2010	2012	2018		The Pit and the Pendulum	Poe, Edgar Allan	1) core list		39	American	1800s		Q379449
116	2006						Martin Chuzzlewit	Dickens, Charles	2) Deleted 2008		860	English	1800s		Q1903609
117	2006						The Purloined Letter	Poe, Edgar Allan	2) Deleted 2008		665	American	1800s		Q733448
118	2006	2008	2010	2012	2018		The Three Musketeers	Dumas, Alexandre	1) core list		262	French	1800s		Q140527
119	2006						Queen Margot	Dumas, Alexandre	2) Deleted 2008	La Reine Margot	178	French	1800s		Q2020094
120		2008	2010	2012	2018		Facundo	Sarmiento, Domingo Faustino	3) Added 2008		1105		1800s		Q807736
121		2008	2010	2012	2018		The Devil's Pool	Sand, George	3) Added 2008	La mare au diable  	1111	English	1800s		Q3210542
122	2006	2008	2010	2012	2018		The Count of Monte-Cristo	Dumas, Alexandre	1) core list	Le Comte du Monte-Cristo	287	French	1800s		Q191838
123	2006	2008	2010	2012	2018		Jane Eyre	Brontë, Charlotte	1) core list		160	English	1800s		Q182961
124	2006	2008	2010	2012	2018		Vanity Fair	Thackeray, William Makepeace	1) core list		919	English	1800s		Q612836
125	2006						Agnes Grey	Brontë, Anne	2) Deleted 2008		797	English	1800s		Q517172
126	2006	2008	2010	2012	2018		Wuthering Heights	Brontë, Emily	1) core list		581	English	1800s		Q202975
127	2006	2008	2010	2012	2018		The Tenant of Wildfell Hall	Brontë, Anne	1) core list		458	English	1800s		Q44701
128	2006						Mary Barton	Gaskell, Elizabeth	2) Deleted 2008		849	English	1800s		Q2607078
129	2006						Shirley	Brontë, Charlotte	2) Deleted 2008		894	English	1800s		Q615175
130	2006	2008	2010	2012	2018		David Copperfield	Dickens, Charles	1) core list		555	English	1800s		Q189811
131	2006	2008	2010	2012	2018		The Scarlet Letter	Hawthorne, Nathaniel	1) core list		1115	American	1800s		Q907568
132	2006	2008	2010	2012	2018		Moby-Dick	Melville, Herman	1) core list		1125	American	1800s		Q174596
133	2006	2008	2010	2012	2018		The House of the Seven Gables	Hawthorne, Nathaniel	1) core list		1060	American	1800s		Q1141732
134	2006						The Blithedale Romance	Hawthorne, Nathaniel	2) Deleted 2008		1172	American	1800s		Q4007947
135	2006	2008	2010	2012	2018		Uncle Tom’s Cabin	Stowe, Harriet Beecher	1) core list		542	American	1800s		Q2222
136	2006	2008	2010	2012	2018		Cranford	Gaskell, Elizabeth	1) core list		491	English	1800s		Q265100
137	2006						Villette	Brontë, Charlotte	2) Deleted 2008		816	English	1800s		Q2449570
138	2006	2008	2010	2012	2018		Bleak House	Dickens, Charles	1) core list		579	English	1800s		Q883305
139	2006	2008	2010	2012	2018		Walden	Thoreau, Henry David	1) core list		633	American	1800s		Q863534
140	2006						Hard Times	Dickens, Charles	2) Deleted 2008		1035	English	1800s		Q1340493
141		2008	2010	2012	2018		Green Henry	Keller, Gottfried	3) Added 2008		1118		1800s		Q1198871
142	2006	2008	2010	2012	2018		North and South	Gaskell, Elizabeth	1) core list		145	English	1800s		Q1853142
143	2006	2008	2010	2012	2018		Madame Bovary	Flaubert, Gustave	1) core list	Madame Bovary	856	French	1800s		Q193417
144		2008	2010	2012	2018		Indian Summer	Stifter, Adalbert	3) Added 2008		656		1800s		Q167320
145	2006	2008	2010	2012	2018		Adam Bede	Eliot, George	1) core list		810	English	1800s		Q2611046
146	2006	2008	2010	2012	2018		Oblomov	Goncharov, Ivan	1) core list		328	Russian	1800s		Q842074
147	2006						A Tale of Two Cities	Dickens, Charles	2) Deleted 2008		618	English	1800s		Q308918
148	2006	2008	2010	2012	2018		The Woman in White	Collins, Wilkie	1) core list		431	English	1800s		Q1212672
149	2006	2008	2010	2012	2018		The Mill on the Floss	Eliot, George	1) core list		773	English	1800s		Q1215018
150	2006						Castle Richmond	Trollope, Anthony	2) Deleted 2008		1175	English	1800s		Q5050241
151	2006						On the Eve	Turgenev, Ivan	2) Deleted 2008		596	Russian	1800s		Q144547
152	2006	2008	2010	2012	2018		Max Havelaar	Multatuli	1) core list		1078	Dutch	1800s		Q919067
153	2006						The Marble Faun	Hawthorne, Nathaniel	2) Deleted 2008		1143	American	1800s		Q3222702
154	2006	2008	2010	2012	2018		Great Expectations	Dickens, Charles	1) core list		747	English	1800s		Q219552
155	2006	2008	2010	2012	2018		Silas Marner	Eliot, George	1) core list		887	English	1800s		Q638327
156	2006	2008	2010	2012	2018		Fathers and Sons	Turgenev, Ivan	1) core list		280	Russuan	1800s		Q29424
157	2006	2008	2010	2012	2018		Les Misérables	Hugo, Victor	1) core list	Les Misérables	521	French	1800s		Q180736
158	2006	2008	2010	2012	2018		The Water-Babies	Kingsley, Charles	1) core list		1117	English	1800s		Q14914646
159	2006	2008	2010	2012	2018		Notes from the Underground	Dostoevsky, Fyodor	1) core list		49	Russian	1800s		Q695116
160	2006	2008	2010	2012	2018		Uncle Silas	Le Fanu, Sheridan	1) core list		883	Irish	1800s		Q3835925
161	2006						Our Mutual Friend	Dickens, Charles	2) Deleted 2008		386	English	1800s		Q1557935
162	2006	2008	2010	2012	2018		Alice’s Adventures in Wonderland	Carroll, Lewis	1) core list		152	English	1800s		Q92640
163	2006	2008	2010	2012	2018		Journey to the Centre of the Earth	Verne, Jules	1) core list		440	French	1800s		Q219457
164	2006	2008	2010	2012	2018		Crime and Punishment	Dostoevsky, Fyodor	1) core list		109	Russian	1800s		Q165318
165	2006	2008	2010	2012	2018		The Last Chronicle of Barset	Trollope, Anthony	1) core list		330	English	1800s		Q7745622
166	2006	2008	2010	2012	2018		Thérèse Raquin	Zola, Émile	1) core list		743	French	1800s		Q268545
167	2006	2008	2010	2012	2018		The Moonstone	Collins, Wilkie	1) core list		512	English	1800s		Q2362563
168	2006	2008	2010	2012	2018		Little Women	Alcott, Louisa May	1) core list		202	American	1800s		Q523076
169	2006	2008	2010	2012	2018		The Idiot	Dostoevsky, Fyodor	1) core list		148	Russian	1800s		Q210784
170	2006	2008	2010	2012	2018		Maldoror	Lautréaumont, Comte de	1) core list		98	French	1800s		Q1213025
171	2006	2008	2010	2012	2018		Phineas Finn	Trollope, Anthony	1) core list		586	English	1800s		Q7186349
172	2006	2008	2010	2012	2018		Sentimental Education	Flaubert, Gustave	1) core list		660	French	1800s		Q1212285
173	2006	2008	2010	2012	2018		War and Peace	Tolstoy, Leo	1) core list		582	Russian	1800s		Q161531
174	2006						He Knew He Was Right	Trollope, Anthony	2) Deleted 2008		868	English	1800s		Q5688834
175	2006	2008	2010	2012	2018		King Lear of the Steppes	Turgenev, Ivan	1) core list		1177	Russian	1800s		Q3548983
176	2006	2008	2010	2012	2018		Through the Looking Glass	Carroll, Lewis	1) core list		143	English	1800s		Q220331
177	2006	2008	2010	2012	2018		Middlemarch	Eliot, George	1) core list		631	English	1800s		Q313129
178	2006	2008	2010	2012	2018		Spring Torrents	Turgenev, Ivan	1) core list		405	Russian	1800s		Q1826666
179	2006	2008	2010	2012	2018		Erewhon	Butler, Samuel	1) core list		1211	English	1800s		Q1350048
180	2006	2008	2010	2012	2018		The Devils	Dostoevsky, Fyodor	1) core list		86	Russian	1800s		Q329989
181	2006	2008	2010	2012	2018		In a Glass Darkly	Le Fanu, Sheridan	1) core list		643	Irish	1800s		Q6011356
182	2006	2008	2010	2012	2018		Around the World in Eighty Days	Verne, Jules	1) core list		344	French	1800s		Q1219561
183	2006	2008	2010	2012	2018		The Enchanted Wanderer	Leskov, Nikolai	1) core list		505	Russian	1800s		Q4340655
184	2006	2008	2010	2012	2018		Far from the Madding Crowd	Hardy, Thomas	1) core list		394	English	1800s		Q5642996
