ID	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	Work QRank	Author QRank	Work Sitelinks	Author Sitelinks
1	2006						Aesop’s Fables	Aesopus	2) Deleted 2008		174	Greek	pre-1700s		Q865902	Q43423	871410	1246432	52	100
2	2006						Metamorphoses	Ovid	2) Deleted 2008		368	Roman	pre-1700s		Q184742	Q7198	868100	1059672	61	134
3	2006						Chaireas and Kallirhoe	Chariton	2) Deleted 2008		1136		pre-1700s		Q2972092	Q434567	17972	13562	10	23
4	2006						An Ethiopian Romance	Heliodorus	2) Deleted 2008	Aithiopika	1164	Syrian	pre-1700s		Q2657860	Q313011	26599	25414	12	30
5	2006	2008	2010	2012	2018		The Thousand and One Nights	Anonymous	1) core list		525	Arabian	pre-1700s		Q8258	Q4233718	3015976	61352	130	9
6		2008	2010	2012	2018		The Tale of the Bamboo Cutter	Anonymous	3) Added 2008		873		pre-1700s		Q923593	Q4233718	685065	61352	35	9
7		2008	2010	2012	2018		The Tale of Genji	Murasaki, Shikibu	3) Added 2008		1082		pre-1700s		Q8269	Q81731	1196249	2083226	100	142
8		2008	2010	2012	2018		Romance of the Three Kingdoms	Luo, Guanzhong	3) Added 2008		1158		pre-1700s		Q70806	Q264517	1168036	131451	60	34
9		2008	2010	2012	2018		The Water Margin	Shi, Nai'an	3) Added 2008		414		pre-1700s		Q70827	Q1777502	689906	59878	52	26
10		2008	2010	2012	2018		Tirant lo Blanc	Martorell, Joanot	3) Added 2008		1280		pre-1700s		Q559667	Q363836	117025	46049	27	33
11		2008	2010	2012	2018		La Celestina	Rojas, Fernando de	3) Added 2008		1154		pre-1700s		Q583705	Q353841	327985	131213	33	29
12		2008	2010	2012	2018		Amadis of Gaul	Montalvo, Garci Rodríguez de	3) Added 2008		1195		pre-1700s		Q452075	Q723468	152789	28631	25	15
13		2008	2010	2012	2018		The Life of Lazarillo de Tormes	Anonymous	3) Added 2008	La vida del Lazarillo de Tormes	1001		pre-1700s		Q770895	Q4233718	397099	61352	37	9
14	2006	2008	2010	2012	2018		Gargantua and Pantagruel	Rabelais, François	1) core list		1055	French	pre-1700s		Q822290	Q131018	545871	657493	39	90
15		2008	2010	2012	2018		The Lusiads	Camões, Luís de	3) Added 2008		293		pre-1700s		Q781898	Q590	222947	334243	37	86
16		2008	2010	2012	2018		Monkey: Journey to the West	Wu, Cheng'en	3) Added 2008		294		pre-1700s		Q70784	Q228889	1758091	130947	66	50
17	2006						Euphues: The Anatomy of Wit	Lyly, John	2) Deleted 2008		1297	English	pre-1700s		Q5410723	Q261627	21599	47647	3	25
18	2006	2008	2010	2012	2018		The Unfortunate Traveller	Nashe, Thomas	1) core list		1200	English	pre-1700s		Q1588078	Q443042	13649	39830	2	24
19		2008	2010	2012	2018		Thomas of Reading	Deloney, Thomas	3) Added 2008		1307		pre-1700s		Q127500887	Q1530410		3466	0	7
20	2006	2008	2010	2012	2018		The Golden Ass	Apuleius, Lucius	1) core list		465	Roman	pre-1700s		Q1044767	Q170512	302843	259405	31	71
21	2006	2008	2010	2012	2018		Don Quixote	Cervantes Saavedra, Miguel de	1) core list		840	Spanish	pre-1700s		Q480	Q5682	4291046	2272986	123	176
22		2008	2010	2012	2018		The Travels of Persiles and Sigismunda	Cervantes Saavedra, Miguel de	3) Added 2008	Los trabajos de Persiles y Sigismunda	1123	Spanish	pre-1700s		Q2634153	Q5682	27263	2272986	13	176
23		2008	2010	2012	2018		The Conquest of New Spain	Díaz del Castillo, Bernal	3) Added 2008		234		pre-1700s		Q378485	Q315795	68802	145798	10	29
24		2008	2010	2012	2018		The Adventurous Simplicissimus	Grimmelshausen, Hans von	3) Added 2008	Der abenteuerliche Simplicissimus	946		pre-1700s		Q705839	Q31220	123115	62127	24	40
25	2006						The Pilgrim’s Progress	Bunyan, John	2) Deleted 2008		259	English	pre-1700s		Q268211	Q108206	514925	280202	38	54
26	2006	2008	2010	2012	2018		The Princess of Clèves	La Fayette, Madame de	1) core list	La Princess de Clèves	1122	French	pre-1700s		Q1157010	Q237090	254616	109753	19	41
27	2006	2008	2010	2012	2018		Oroonoko	Behn, Aphra	1) core list		1272	English	pre-1700s		Q2453934	Q231886	76264	144178	15	45
28	2006						A Tale of a Tub	Swift, Jonathan	2) Deleted 2008		1005	English	1700s		Q2353123	Q41166	45659	951820	7	97
29	2006	2008	2010	2012	2018		Robinson Crusoe	Defoe, Daniel	1) core list		834	English	1700s		Q483034	Q40946	1890793	893682	85	101
30	2006	2008	2010	2012	2018		Love in Excess	Haywood, Eliza	1) core list		1188	English	1700s		Q1588738	Q1559438	4655	15824	2	14
31	2006	2008	2010	2012	2018		Moll Flanders	Defoe, Daniel	1) core list		1034	English	1700s		Q612523	Q40946	146164	893682	26	101
32	2006						Roxana	Defoe, Daniel	2) Deleted 2008		1147	English	1700s		Q3825485	Q40946	25022	893682	5	101
33	2006	2008	2010	2012	2018		Gulliver’s Travels	Swift, Jonathan	1) core list		990	English	1700s		Q181488	Q41166	1566820	951820	70	97
34	2006	2008	2010	2012	2018		A Modest Proposal	Swift, Jonathan	1) core list		106	English	1700s		Q264143	Q41166	411938	951820	21	97
35	2006	2008	2010	2012	2018		Joseph Andrews	Fielding, Henry	1) core list		1204	English	1700s		Q784226	Q34190	49243	229481	12	49
36	2006	2008	2010	2012	2018		Memoirs of Martinus Scriblerus	Arbuthnot, John et al	1) core list		1090	Irish	1700s		Q2587918	Q435816	1937	19493	3	21
37	2006	2008	2010	2012	2018		Pamela	Richardson, Samuel	1) core list		1299	English	1700s		Q2048624	Q295941	130026	116959	16	44
38	2006	2008	2010	2012	2018		Clarissa	Richardson, Samuel	1) core list		1276	English	1700s		Q980534	Q295941	96638	116959	11	44
39	2006						Roderick Random	Smollett, Tobias George	2) Deleted 2008		1157	English	1700s		Q7712626	Q356283	18173	58403	6	36
40	2006	2008	2010	2012	2018		Tom Jones	Fielding, Henry	1) core list		1023	English	1700s		Q248096	Q34190	374299	229481	29	49
41	2006	2008	2010	2012	2018		Fanny Hill	Cleland, John	1) core list		1186	English	1700s		Q1395765	Q460861	257920	34320	26	26
42	2006	2008	2010	2012	2018		Peregrine Pickle	Smollett, Tobias George	1) core list		1222	Scottish	1700s		Q7712607	Q356283	14810	58403	4	36
43	2006						Amelia	Fielding, Henry	2) Deleted 2008		1171	English	1700s		Q2842656	Q34190	9925	229481	5	49
44	2006	2008	2010	2012	2018		The Female Quixote	Lennox, Charlotte	1) core list		1069	America	1700s		Q1404172	Q441757	15650	11765	2	12
45	2006	2008	2010	2012	2018		Candide	Voltaire	1) core list		565	French	1700s		Q215894	Q9068	935581	3293244	48	171
46	2006	2008	2010	2012	2018		The History of Rasselas, Prince of Abissinia	Johnson, Samuel	1) core list		1084	English	1700s		Q3419875	Q183266	23987	604627	4	73
47	2006	2008	2010	2012	2018		Julie; or, the New Eloise	Rousseau, Jean-Jacques	1) core list		1224	French	1700s		Q129289	Q6527	116731	3600945	22	153
48	2006	2008	2010	2012	2018		Émile; or, On Education	Rousseau, Jean-Jacques	1) core list		1037	French	1700s		Q913599	Q6527	338332	3600945	35	153
49	2006	2008	2010	2012	2018		The Castle of Otranto	Walpole, Horace	1) core list		1223	English	1700s		Q548576	Q309903	214436	189544	21	43
50	2006	2008	2010	2012	2018		The Vicar of Wakefield	Goldsmith, Oliver	1) core list		1052	English	1700s		Q1196205	Q236236	67470	154834	16	48
51	2006	2008	2010	2012	2018		Tristram Shandy	Sterne, Laurence	1) core list		949	English	1700s		Q1164083	Q218960	234736	157080	28	50
52	2006	2008	2010	2012	2018		A Sentimental Journey	Sterne, Laurence	1) core list		1148	English	1700s		Q768792	Q218960	41394	157080	17	50
53	2006	2008	2010	2012	2018		The Man of Feeling	Mackenzie, Henry	1) core list		1266	Scottish	1700s		Q7750109	Q1276720	5232	5565	3	11
54	2006	2008	2010	2012	2018		Humphry Clinker	Smollett, Tobias George	1) core list		1156	Scottish	1700s		Q3203413	Q356283	14425	58403	4	36
55	2006	2008	2010	2012	2018		The Sorrows of Young Werther	Goethe, Johann Wolfgang von	1) core list		778	German	1700s		Q151883	Q5879	1010031	3380565	52	186
56	2006	2008	2010	2012	2018		Evelina	Burney, Fanny	1) core list		938	English	1700s		Q1635110	Q259530	40422	72181	7	35
57	2006	2008	2010	2012	2018		Reveries of a Solitary Walker	Rousseau, Jean-Jacques	1) core list		835	French	1700s		Q129476	Q6527	63433	3600945	9	153
58	2006	2008	2010	2012	2018		Dangerous Liaisons	Laclos, Pierre Choderlos de	1) core list		213	French	1700s		Q862050	Q212476	573324	163873	30	45
59	2006	2008	2010	2012	2018		Confessions	Rousseau, Jean-Jacques	1) core list		1056	French	1700s		Q1207595	Q6527	120442	3600945	23	153
60	2006						Cecilia	Burney, Fanny	2) Deleted 2008		1064	English	1700s		Q3233990	Q259530	10733	72181	5	35
61	2006	2008	2010	2012	2018		The 120 Days of Sodom	Sade, Marquis de	1) core list		1262	French	1700s		Q1210734	Q123867	897498	2022749	28	74
62		2008	2010	2012	2018		Anton Reiser	Moritz, Karl Philipp	3) Added 2008		1051		1700s		Q593385	Q215781	10654	20681	2	22
63	2006	2008	2010	2012	2018		Vathek	Beckford, William Thomas	1) core list		1191	English	1700s		Q54548	Q361026	58935	49649	10	28
64	2006	2008	2010	2012	2018		Justine	Sade, Marquis de	1) core list		1129	French	1700s		Q1329470	Q123867	282170	2022749	22	74
65		2008	2010	2012	2018		A Dream of Red Mansions	Cao, Xueqin	3) Added 2008		201		1700s		Q8265	Q182874	857965	142553	102	48
66	2006	2008	2010	2012	2018		The Adventures of Caleb Williams	Godwin, William	1) core list		1127	English	1700s		Q7784409	Q188569	22566	250640	3	52
67	2006	2008	2010	2012	2018		The Interesting Narrative	Equiano, Olaudah	1) core list		757	Nigerian	1700s		Q7742270	Q379887	54899	250109	5	35
68	2006	2008	2010	2012	2018		The Mysteries of Udolpho	Radcliffe, Ann	1) core list		1209	English	1700s		Q2600909	Q231944	93290	138559	15	51
